0	award speci award person brian kobilka
0	award cat bag quantum physic numer
0	award highlight weird world quantum optic via nbcnew
0	person person award tempor nobel prize chemistri studi g-protein coupl receptor
0	american scientist person ethnicgroup serg haroch win award ethnicgroup post ethnicgroup postam
0	place american person person win nobel chemistri prize
0	american robert lefkowitz person win nobel chemistri prize
0	award g-protein coupl receptor incred import drug target
0	ethnicgroup co-recipi tempor nobel prize physic
0	break american person person win nobel chemistri prize
0	break ethnicgroup robert lefkowitz person win nobel chemistri prize nobelpr
0	american win nobel chemistri prize numer ethnicgroup scientist robert lefkowitz brian kabilka
0	work pass break american person person win nobel chemistri prize
0	tempor nobelpr chemistri award jointli robert lefkowitz brian kobilka studi g-protein-coupl receptor
0	化学奖 break american robert lefkowitz person win nobel chemistri prize
0	tempor nobelpr chemistri award jointli robert lefkowitz brian kobilka studi g-protein-coupl receptor
0	cell receptor work win award chemistri
0	nobel prize physic trap success economist
0	person person win tempor nobel prize chemistri
0	award reward groundbreak quantum experi
0	cell receptor work win award speci place organis numer ethnicgroup scientist tempor
0	languag physicist win nobel quantum work
0	cell receptor work win award speci place organis numer ethnicgroup scientist tempor
0	cell receptor work win award speci place organis numer ethnicgroup scientist tempor
0	cell receptor work win award speci place organis numer ethnicgroup scientist tempor
0	american win award speci huffpost
0	place american win award ethnicgroup duo share tempor nobel prize physic tuesda
0	nobel prize physic tempor
0	american share nobel chemistri prize american person person tempor nobel priz
0	scientist win nobel chemistri prize person person unit state tempor nobel prize
0	award award
0	award award
0	physic award goe person person tempor award prize physic award
0	cell receptor work win award speci place organis numer ethnicgroup scientist tempor
0	congrat person haroch win tempor nobel prize physic discoveri scienc
0	person brian kobilka win award speci numer place scientist tempor award
0	person brian kobilka place win tempor nobel prize chemistri
0	award speci award jointli ethnicgroup robert lefkowitz brian kobilka detail
0	organis top news cell receptor work win nobel prize speci
0	ethnicgroup scientist person ethnicgroup david wineland win award econom time
0	numer place scientist win nobel chemistri prize
0	numer american win nobel chemistri prize
0	numer american win award #cb
